,지역,주문건수,확진자수
2019년08월,전국,657657,0
2019년09월,전국,657928,0
2019년10월,전국,790744,0
2019년11월,전국,837452,0
2019년12월,전국,912463,0
2020년01월,전국,878334,11
2020년02월,전국,941286,3139
2020년03월,전국,1018552,6636
2020년04월,전국,1014196,979
2020년05월,전국,1084416,703
2020년06월,전국,1091229,1331
2020년07월,전국,1147225,1506
2020년08월,전국,1370364,5642
2020년09월,전국,1113303,3865
2020년10월,전국,1124853,2699
2020년11월,전국,1257971,7688
2020년12월,전국,1643834,26527
2021년01월,전국,1396264,17471
2021년02월,전국,1314171,11467
2019년08월,서울,128660,0
2019년09월,서울,139989,0
2019년10월,서울,162336,0
2019년11월,서울,158584,0
2019년12월,서울,162427,0
2020년01월,서울,153441,0
2020년02월,서울,161649,77
2020년03월,서울,170074,373
2020년04월,서울,159809,183
2020년05월,서울,166242,228
2020년06월,서울,161453,451
2020년07월,서울,159449,288
2020년08월,서울,188558,2267
2020년09월,서울,152301,1426
2020년10월,서울,151332,718
2020년11월,서울,214661,2800
2020년12월,서울,271089,10184
2021년01월,서울,192632,5160
2021년02월,서울,163799,4080
2019년08월,부산,30600,0
2019년09월,부산,26640,0
2019년10월,부산,27530,0
2019년11월,부산,21632,0
2019년12월,부산,19658,0
2020년01월,부산,10735,0
2020년02월,부산,2629,80
2020년03월,부산,2783,39
2020년04월,부산,7659,18
2020년05월,부산,8041,10
2020년06월,부산,9414,7
2020년07월,부산,12954,17
2020년08월,부산,18763,130
2020년09월,부산,15337,120
2020년10월,부산,17724,171
2020년11월,부산,21772,217
2020년12월,부산,32419,1058
2021년01월,부산,29693,889
2021년02월,부산,25215,466
2019년08월,대구,8571,0
2019년09월,대구,7526,0
2019년10월,대구,8570,0
2019년11월,대구,7622,0
2019년12월,대구,21805,0
2020년01월,대구,20305,0
2020년02월,대구,17219,2236
2020년03월,대구,7930,4448
2020년04월,대구,7461,168
2020년05월,대구,10147,31
2020년06월,대구,9498,23
2020년07월,대구,10458,34
2020년08월,대구,13671,107
2020년09월,대구,8997,85
2020년10월,대구,9863,42
2020년11월,대구,15522,58
2020년12월,대구,19367,569
2021년01월,대구,19649,507
2021년02월,대구,15694,315
2019년08월,인천,1525,0
2019년09월,인천,5511,0
2019년10월,인천,18408,0
2019년11월,인천,16654,0
2019년12월,인천,13678,0
2020년01월,인천,15704,0
2020년02월,인천,13263,6
2020년03월,인천,24931,58
2020년04월,인천,22235,29
2020년05월,인천,21566,113
2020년06월,인천,30587,135
2020년07월,인천,35118,42
2020년08월,인천,33827,335
2020년09월,인천,25734,198
2020년10월,인천,22513,129
2020년11월,인천,20085,364
2020년12월,인천,23508,1430
2021년01월,인천,24705,974
2021년02월,인천,22443,618
2019년08월,광주,667,0
2019년09월,광주,709,0
2019년10월,광주,1334,0
2019년11월,광주,1791,0
2019년12월,광주,4454,0
2020년01월,광주,1752,0
2020년02월,광주,2032,9
2020년03월,광주,1785,11
2020년04월,광주,1744,10
2020년05월,광주,2119,2
2020년06월,광주,4857,12
2020년07월,광주,5906,160
2020년08월,광주,7382,170
2020년09월,광주,5984,121
2020년10월,광주,5359,16
2020년11월,광주,7036,185
2020년12월,광주,14550,385
2021년01월,광주,13419,702
2021년02월,광주,12242,301
2019년08월,대전,4403,0
2019년09월,대전,4230,0
2019년10월,대전,11188,0
2019년11월,대전,14556,0
2019년12월,대전,16516,0
2020년01월,대전,14140,0
2020년02월,대전,14254,13
2020년03월,대전,15758,23
2020년04월,대전,14119,4
2020년05월,대전,15230,6
2020년06월,대전,17222,71
2020년07월,대전,13195,49
2020년08월,대전,12574,90
